ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
571;800044;A044109;2009JJ00;65600.0
572;800044;A044109;2010JJ00;68200.0
573;800044;A044109;2011JJ00;63900.0
574;800044;A044109;2012JJ00;60700.0
575;800044;A044109;2013JJ00;59700.0
576;800044;A044109;2014JJ00;63000.0
577;800044;A044109;2015JJ00;67600.0
578;800044;A044109;2016JJ00;65900.0
579;800044;A044109;2017JJ00;61700.0
580;800044;A044109;2018JJ00;58000.0
581;800044;A044109;2019JJ00;57200.0
582;800044;A044109;2020JJ00;50200.0
583;800044;A044109;2021JJ00;52300.0
584;800044;A044109;2022JJ00;49100.0
585;800044;A044109;2023JJ00;40100.0
586;800044;A044109;2024JJ00;38600.0
587;800044;A044109;2025JJ00;42700.0
672;800044;A044112;1990JJ00;103.9
673;800044;A044112;1995JJ00;83.2
674;800044;A044112;2000JJ00;64.9
675;800044;A044112;2001JJ00;62.7
676;800044;A044112;2002JJ00;62.9
677;800044;A044112;2003JJ00;63.8
678;800044;A044112;2004JJ00;56.6
679;800044;A044112;2005JJ00;55.2
680;800044;A044112;2006JJ00;52.0
681;800044;A044112;2007JJ00;43.4
682;800044;A044112;2008JJ00;38.1
683;800044;A044112;2009JJ00;32.3
684;800044;A044112;2010JJ00;32.6
685;800044;A044112;2011JJ00;29.1
686;800044;A044112;2012JJ00;28.3
687;800044;A044112;2013JJ00;29.5
688;800044;A044112;2014JJ00;26.8
689;800044;A044112;2015JJ00;27.6
690;800044;A044112;2016JJ00;23.4
691;800044;A044112;2017JJ00;21.5
692;800044;A044112;2018JJ00;20.7
693;800044;A044112;2019JJ00;19.4
694;800044;A044112;2020JJ00;17.0
695;800044;A044112;2021JJ00;17.1
696;800044;A044112;2022JJ00;16.3
697;800044;A044112;2023JJ00;13.6
698;800044;A044112;2024JJ00;13.0
699;800044;A044112;2025JJ00;13.4
700;800044;A044114;1990JJ00;112.7
701;800044;A044114;1995JJ00;78.3
702;800044;A044114;2000JJ00;48.2
703;800044;A044114;2001JJ00;50.6
704;800044;A044114;2002JJ00;44.4
705;800044;A044114;2003JJ00;43.7
706;800044;A044114;2004JJ00;43.1
707;800044;A044114;2005JJ00;42.1
708;800044;A044114;2006JJ00;42.2
709;800044;A044114;2007JJ00;38.7
710;800044;A044114;2008JJ00;32.1
711;800044;A044114;2009JJ00;24.2
712;800044;A044114;2010JJ00;19.4
713;800044;A044114;2011JJ00;19.2
714;800044;A044114;2012JJ00;22.1
715;800044;A044114;2013JJ00;19.5
716;800044;A044114;2014JJ00;18.3
717;800044;A044114;2015JJ00;19.7
